date,branch,item_name,qty_sold
2023-01-01,Cantt,Glaze On-Single Patty,72
2023-01-01,FF DHA,Glaze On-Single Patty,81
2023-01-01,Main warehouse Mian Pl,Glaze On-Single Patty,65
2023-01-01,Lakecity,Glaze On-Single Patty,77
2023-01-01,Model Town,Glaze On-Single Patty,85
2023-01-01,Cantt,Glaze On-Double Patty,38
2023-01-01,FF DHA,Glaze On-Double Patty,41
2023-01-01,Main warehouse Mian Pl,Glaze On-Double Patty,44
2023-01-01,Lakecity,Glaze On-Double Patty,47
2023-01-01,Model Town,Glaze On-Double Patty,41
2023-01-01,Cantt,Jalapeno cheese fries,89
2023-01-01,FF DHA,Jalapeno cheese fries,81
2023-01-01,Main warehouse Mian Pl,Jalapeno cheese fries,92
2023-01-01,Lakecity,Jalapeno cheese fries,93
2023-01-01,Model Town,Jalapeno cheese fries,84
2023-01-01,Cantt,Signature Onion Rings,69
2023-01-01,FF DHA,Signature Onion Rings,54
2023-01-01,Main warehouse Mian Pl,Signature Onion Rings,59
2023-01-01,Lakecity,Signature Onion Rings,60
2023-01-01,Model Town,Signature Onion Rings,66
2023-01-01,Cantt,DD Classic -Chicken-100 G,103
2023-01-01,FF DHA,DD Classic -Chicken-100 G,88
2023-01-01,Main warehouse Mian Pl,DD Classic -Chicken-100 G,70
2023-01-01,Lakecity,DD Classic -Chicken-100 G,63
2023-01-01,Model Town,DD Classic -Chicken-100 G,82
2023-01-01,Cantt,Simple beef-Single Patty,79
2023-01-01,FF DHA,Simple beef-Single Patty,64
2023-01-01,Main warehouse Mian Pl,Simple beef-Single Patty,59
2023-01-01,Lakecity,Simple beef-Single Patty,77
2023-01-01,Model Town,Simple beef-Single Patty,75
2023-01-01,Cantt,Mozzarella Cheese Sticks,56
2023-01-01,FF DHA,Mozzarella Cheese Sticks,47
2023-01-01,Main warehouse Mian Pl,Mozzarella Cheese Sticks,59
2023-01-01,Lakecity,Mozzarella Cheese Sticks,46
2023-01-01,Model Town,Mozzarella Cheese Sticks,46
2023-01-01,Cantt,Fried Chicken Fingers,60
2023-01-01,FF DHA,Fried Chicken Fingers,66
2023-01-01,Main warehouse Mian Pl,Fried Chicken Fingers,45
2023-01-01,Lakecity,Fried Chicken Fingers,61
2023-01-01,Model Town,Fried Chicken Fingers,61
2023-01-02,Cantt,Glaze On-Single Patty,75
2023-01-02,FF DHA,Glaze On-Single Patty,70
2023-01-02,Main warehouse Mian Pl,Glaze On-Single Patty,89
2023-01-02,Lakecity,Glaze On-Single Patty,73
2023-01-02,Model Town,Glaze On-Single Patty,68
2023-01-02,Cantt,Glaze On-Double Patty,41
2023-01-02,FF DHA,Glaze On-Double Patty,57
